epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.699,1.38536,3.04687,0.96389,0.03547,0.62138,0.09388,0.05206,1.73487,4.17127,1.07534,0.000174888,0.000174888,0.000174888
2,177.009,1.04663,1.38717,0.89001,0.51803,0.46055,0.49257,0.30805,1.3669,2.70252,0.95069,0.000343287,0.000343287,0.000343287
3,258.672,0.95345,1.01154,0.87137,0.63352,0.58833,0.64948,0.44035,1.22536,2.0464,0.92668,0.000504743,0.000504743,0.000504743
4,340.879,0.89613,0.84418,0.85942,0.71943,0.60939,0.7054,0.49007,1.17367,1.96231,0.91183,0.000494756,0.000494756,0.000494756
5,423.551,0.84194,0.74609,0.84856,0.75472,0.65798,0.74207,0.54288,1.02339,1.58024,0.88425,0.000484341,0.000484341,0.000484341
6,506.686,0.82028,0.68034,0.84242,0.7773,0.63532,0.68333,0.50955,1.0032,1.86911,0.88006,0.000473926,0.000473926,0.000473926
7,590.353,0.78423,0.63826,0.83862,0.81175,0.64898,0.72995,0.54311,1.00975,1.7265,0.87822,0.000463511,0.000463511,0.000463511
8,672.295,0.76784,0.59923,0.83687,0.84242,0.69677,0.76236,0.59454,0.914,1.3951,0.86603,0.000453096,0.000453096,0.000453096
9,756.665,0.7463,0.57342,0.83171,0.85389,0.6954,0.76784,0.58901,0.96184,1.38252,0.87556,0.000442682,0.000442682,0.000442682
10,840.423,0.72808,0.54675,0.82985,0.84463,0.68431,0.75046,0.57972,0.97241,1.4794,0.88184,0.000432267,0.000432267,0.000432267
11,924.881,0.72168,0.52973,0.82654,0.84167,0.67348,0.75733,0.59085,0.91858,1.42237,0.86409,0.000421852,0.000421852,0.000421852
12,1008.73,0.71266,0.51521,0.82581,0.8479,0.67703,0.75511,0.58631,0.96049,1.49249,0.87326,0.000411437,0.000411437,0.000411437
13,1088.93,0.69943,0.49564,0.82597,0.86817,0.66568,0.73604,0.5753,0.94485,1.43938,0.86968,0.000401022,0.000401022,0.000401022
14,1172.77,0.68667,0.48825,0.82113,0.87973,0.67854,0.7521,0.59206,0.90823,1.32071,0.8581,0.000390608,0.000390608,0.000390608
15,1255.34,0.68156,0.47807,0.82188,0.87386,0.69974,0.75134,0.58937,0.94817,1.38602,0.87066,0.000380193,0.000380193,0.000380193
16,1338.63,0.67652,0.46762,0.81957,0.88143,0.70239,0.76933,0.6058,0.8931,1.32145,0.85674,0.000369778,0.000369778,0.000369778
17,1419.37,0.66901,0.45863,0.81949,0.87021,0.67565,0.73496,0.58506,0.89629,1.35483,0.85919,0.000359363,0.000359363,0.000359363
18,1500.38,0.66214,0.45189,0.81998,0.86767,0.68202,0.76,0.60196,0.90952,1.47356,0.85911,0.000348948,0.000348948,0.000348948
19,1585.22,0.6523,0.44437,0.81637,0.89084,0.69258,0.7542,0.60246,0.88872,1.40439,0.86088,0.000338534,0.000338534,0.000338534
20,1668.24,0.64641,0.43707,0.81673,0.88093,0.69545,0.7633,0.61246,0.86746,1.30702,0.85877,0.000328119,0.000328119,0.000328119
21,1752.28,0.63987,0.4324,0.81378,0.89288,0.71375,0.76548,0.61072,0.86501,1.20859,0.85155,0.000317704,0.000317704,0.000317704
22,1835.01,0.63877,0.42535,0.816,0.90407,0.71902,0.77776,0.63389,0.81724,1.18634,0.84223,0.000307289,0.000307289,0.000307289
23,1916.5,0.62905,0.4181,0.81445,0.89317,0.69035,0.75965,0.61727,0.82979,1.25031,0.85085,0.000296874,0.000296874,0.000296874
24,2001.01,0.62532,0.41494,0.8123,0.90402,0.71746,0.78233,0.63788,0.81064,1.12522,0.83924,0.00028646,0.00028646,0.00028646
25,2084.91,0.62429,0.41061,0.81224,0.90481,0.73314,0.79278,0.64533,0.81144,1.12989,0.83897,0.000276045,0.000276045,0.000276045
26,2170.2,0.6197,0.40541,0.81258,0.90162,0.71676,0.78449,0.63895,0.81837,1.10905,0.84398,0.00026563,0.00026563,0.00026563
27,2255.9,0.61703,0.40047,0.81177,0.90361,0.72889,0.78893,0.64546,0.79707,1.10035,0.83747,0.000255215,0.000255215,0.000255215
28,2339.67,0.60586,0.3987,0.81011,0.89017,0.7243,0.78226,0.63729,0.82725,1.17495,0.8507,0.0002448,0.0002448,0.0002448
29,2421.73,0.60839,0.39432,0.81071,0.90838,0.72746,0.77948,0.63861,0.80764,1.14347,0.84161,0.000234386,0.000234386,0.000234386
30,2504.84,0.60185,0.38814,0.8095,0.90271,0.72425,0.78677,0.6469,0.78541,1.13178,0.83642,0.000223971,0.000223971,0.000223971
31,2586.64,0.60122,0.38672,0.80919,0.90988,0.74739,0.80678,0.66672,0.74983,1.04291,0.82673,0.000213556,0.000213556,0.000213556
32,2669,0.59668,0.38367,0.80848,0.91502,0.74062,0.8046,0.66284,0.76076,1.03742,0.82985,0.000203141,0.000203141,0.000203141
33,2752.25,0.58678,0.37641,0.80837,0.91546,0.75021,0.801,0.6609,0.76395,1.0508,0.82929,0.000192726,0.000192726,0.000192726
34,2834.56,0.58158,0.3712,0.80635,0.90946,0.73794,0.79819,0.65375,0.78379,1.04163,0.8345,0.000182312,0.000182312,0.000182312
35,2918.37,0.58452,0.37403,0.80762,0.91216,0.74623,0.80306,0.66633,0.75999,1.00766,0.83167,0.000171897,0.000171897,0.000171897
36,2999.19,0.58063,0.36829,0.80548,0.90642,0.7479,0.80373,0.66148,0.76555,1.04018,0.83097,0.000161482,0.000161482,0.000161482
37,3083.19,0.57833,0.36908,0.80728,0.91559,0.74127,0.80042,0.66094,0.77119,0.99246,0.83452,0.000151067,0.000151067,0.000151067
38,3165.42,0.57108,0.36385,0.80585,0.92251,0.74403,0.80974,0.66636,0.76419,0.95195,0.83124,0.000140652,0.000140652,0.000140652
39,3247.85,0.56784,0.35848,0.8057,0.91896,0.75122,0.81408,0.67185,0.75858,0.95246,0.83212,0.000130238,0.000130238,0.000130238
40,3330.99,0.56469,0.35844,0.80401,0.90451,0.73846,0.798,0.65686,0.76906,1.06151,0.8344,0.000119823,0.000119823,0.000119823
41,3412.87,0.51495,0.29062,0.79578,0.92175,0.76727,0.84817,0.70051,0.73884,0.84633,0.82719,0.000109408,0.000109408,0.000109408
