epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9964,1.31778,3.03587,0.95514,0.63679,0.7087,0.71878,0.53318,0.92748,1.43541,0.86089,0.000174888,0.000174888,0.000174888
2,178.738,0.95931,1.30413,0.8733,0.94823,0.93354,0.98082,0.76143,0.83769,0.67863,0.84037,0.000343287,0.000343287,0.000343287
3,260.832,0.86568,0.93918,0.85538,0.96653,0.96764,0.99052,0.8072,0.69971,0.55491,0.8163,0.000504743,0.000504743,0.000504743
4,344.983,0.81343,0.78831,0.845,0.983,0.98614,0.99212,0.83259,0.64712,0.4786,0.81074,0.000494756,0.000494756,0.000494756
5,429.873,0.7673,0.70097,0.83671,0.97849,0.985,0.98833,0.8416,0.60598,0.44011,0.80236,0.000484341,0.000484341,0.000484341
6,512.95,0.73745,0.62849,0.82937,0.97753,0.98865,0.99037,0.8401,0.60826,0.42437,0.80136,0.000473926,0.000473926,0.000473926
7,599.544,0.71479,0.58699,0.82671,0.9814,0.97974,0.98753,0.84805,0.59166,0.42043,0.79827,0.000463511,0.000463511,0.000463511
8,682.539,0.6895,0.55131,0.82506,0.99043,0.99249,0.99039,0.85521,0.56478,0.37484,0.79313,0.000453096,0.000453096,0.000453096
9,767.409,0.68269,0.52893,0.82199,0.99081,0.99182,0.98923,0.8536,0.58714,0.36782,0.79478,0.000442682,0.000442682,0.000442682
10,849.467,0.66096,0.50274,0.82012,0.99184,0.99388,0.99028,0.84936,0.59762,0.36016,0.79449,0.000432267,0.000432267,0.000432267
11,930.214,0.65543,0.48636,0.81659,0.98435,0.99245,0.98965,0.86045,0.56012,0.34549,0.79108,0.000421852,0.000421852,0.000421852
12,1016.97,0.64698,0.47713,0.81619,0.99308,0.99345,0.99268,0.86586,0.5396,0.34296,0.78717,0.000411437,0.000411437,0.000411437
13,1096.45,0.63576,0.45878,0.8164,0.9931,0.99425,0.99308,0.86682,0.54728,0.33673,0.7893,0.000401022,0.000401022,0.000401022
14,1180.37,0.62577,0.44949,0.8124,0.98526,0.98664,0.98903,0.86968,0.54011,0.33377,0.78775,0.000390608,0.000390608,0.000390608
15,1262.71,0.62237,0.44156,0.81294,0.99457,0.99685,0.99411,0.86964,0.54371,0.32223,0.78835,0.000380193,0.000380193,0.000380193
16,1349.25,0.62047,0.43514,0.81159,0.98947,0.99141,0.98909,0.8646,0.55167,0.32528,0.78868,0.000369778,0.000369778,0.000369778
